customer_id,has_corporate_card,corporate_card_type,tenure_months,corporate_monthly_spend,employee_size,industry,restaurants_spend_pct,groceries_spend_pct,travel_spend_pct,gas_stations_spend_pct,online_shopping_spend_pct,baby_stores_spend_pct,home_improvement_spend_pct,luxury_retail_spend_pct,entertainment_spend_pct,recent_baby_purchase,recent_home_purchase,frequent_traveler,high_grocery_spender,luxury_shopper,age_bracket,estimated_income,location_type,commute_distance,has_personal_gold,has_personal_platinum,has_personal_green,has_hilton_card,has_delta_card,adopted_personal_card,adopted_product,months_to_adoption,propensity_score_actual
33bbb535-16f1-4ec2-8dda-a0b93d2dcabf,True,Business Gold,16,9900.9,11-50,Retail,0.017,0.0264,0.0137,0.0026,0.0105,0.0007,0.0074,0.0112,0.001,False,False,False,False,False,36-40,445773.71,Suburban,0-10mi,False,False,False,False,False,False,None,0,0.0704
ff774f71-87ce-4a77-a938-cfd6537a3095,True,Corporate Platinum,115,11209.21,51-200,Retail,0.038,0.0609,0.1243,0.0355,0.0964,0.0007,0.0144,0.0257,0.0289,False,False,True,False,False,25-30,320559.76,Rural,30-50mi,False,False,False,False,False,True,Green,6,0.3521
97b98eb5-62c9-4938-b01c-06eaea8767e1,True,Business Gold,66,18725.85,201-1000,Healthcare,0.1055,0.1297,0.0567,0.0002,0.0958,0.0718,0.0278,0.0039,0.028,True,True,True,True,False,31-35,500000.0,Urban,0-10mi,False,False,False,False,False,True,Gold,4,0.669
15858e0e-1d94-4870-85a8-e4e6dfade341,True,Business Gold,119,8075.25,11-50,Technology,0.0842,0.0238,0.0441,0.0282,0.1895,0.0001,0.1091,0.0161,0.056,False,True,False,False,False,51-60,266172.42,Urban,0-10mi,False,False,False,False,False,True,Green,6,0.3521
bb68cfd1-62b9-4223-9aeb-4b850dfb670a,True,Corporate Gold,53,16127.75,1-10,Healthcare,0.0085,0.0133,0.006,0.0083,0.0212,0.0002,0.0043,0.0041,0.0163,False,False,False,False,False,36-40,500000.0,Suburban,0-10mi,False,True,False,False,False,False,None,0,0.0986
65b366c9-9dbe-4dfa-9171-00f7bffebcaa,True,Business Platinum,101,9749.74,51-200,Technology,0.0586,0.0604,0.0259,0.0207,0.0789,0.0054,0.0085,0.0621,0.0132,False,False,False,False,False,31-35,376813.81,Urban,0-10mi,False,False,False,False,False,False,None,0,0.3099
a76050ec-a7da-4777-922c-fbc5d8649a6d,True,Business Gold,44,13649.89,201-1000,Finance,0.0281,0.0385,0.007,0.0914,0.079,0.0162,0.0402,0.0172,0.024,True,True,False,False,False,31-35,467100.33,Suburban,50+ mi,False,False,False,False,False,False,None,0,0.2817
150fb063-0ec7-4498-8c95-803aaee5248f,True,Business Gold,57,8717.62,51-200,Professional Services,0.0374,0.0471,0.0345,0.0362,0.033,0.0132,0.0368,0.0013,0.008,False,False,False,False,False,60+,393780.78,Suburban,10-30mi,False,False,False,False,False,True,Hilton,3,0.3099
1a136ea2-bc41-4d8f-864c-1d8586de56c7,True,Corporate Gold,45,5933.72,201-1000,Technology,0.0192,0.0325,0.0058,0.0018,0.0324,0.0,0.0097,0.0135,0.0086,False,False,False,False,False,36-40,204756.33,Suburban,0-10mi,False,False,False,False,False,False,None,0,0.2817
bac3ea51-a867-450e-b023-1cb3e27b2ec0,True,Corporate Platinum,68,6961.05,51-200,Healthcare,0.1171,0.0206,0.0422,0.0551,0.1065,0.0013,0.06,0.0706,0.0071,False,True,False,False,False,36-40,269046.81,Urban,30-50mi,False,False,False,False,False,False,None,0,0.3521
